ID_NO,BINOMIAL
177225,Nyctibatrachus deccanensis
191352,Ghatixalus variabilis
191351,Ghatixalus variabilis
177224,Nyctibatrachus deccanensis
188257,Bufo stomaticus
172198,Uraeotyphlus oommeni
172278,Uperodon globulosus
179774,Ichthyophis kodaguensis
177876,Melanobatrachus indicus
177875,Melanobatrachus indicus
174284,Hylarana aurantiaca
177874,Melanobatrachus indicus
176411,Philautus signatus
174283,Hylarana aurantiaca
188068,Uperodon systoma
179433,Kaloula taprobanica
179766,Ichthyophis beddomei
181189,Euphlyctis hexadactylus
181006,Fejervarya brevipalmata
177425,Microhyla sholigari
181005,Fejervarya brevipalmata
181004,Fejervarya brevipalmata
173823,Hylarana malabarica
177424,Microhyla sholigari
188379,Euphlyctis cyanophlyctis
177790,Micrixalus thampii
176570,Philautus charius
177791,Micrixalus swamianus
176571,Philautus chalazodes
176584,Philautus bombayensis
176586,Philautus beddomii
177199,Nyctibatrachus vasanthi
177200,Nyctibatrachus sylvaticus
174926,Polypedates pseudocruciger
177204,Nyctibatrachus sanctipalustris
177203,Nyctibatrachus sanctipalustris
176356,Philautus wynaadensis
174925,Polypedates pseudocruciger
176355,Philautus wynaadensis
177812,Micrixalus elegans
174928,Polypedates pseudocruciger
177216,Nyctibatrachus major
172195,Uraeotyphlus oxyurus
174927,Polypedates pseudocruciger
177215,Nyctibatrachus major
172199,Uraeotyphlus narayani
177214,Nyctibatrachus major
177213,Nyctibatrachus major
177810,Micrixalus gadgili
177202,Nyctibatrachus sanctipalustris
177809,Micrixalus gadgili
177205,Nyctibatrachus petraeus
177808,Micrixalus gadgili
177811,Micrixalus fuscus
177207,Nyctibatrachus minor
177206,Nyctibatrachus minor
179728,Ichthyophis tricolor
177405,Fejervarya sahyadris
172201,Uraeotyphlus menoni
176606,Philautus anili
172202,Uraeotyphlus malabaricus
174136,Clinotarsus curtipes
180978,Fejervarya syhadrensis
174135,Clinotarsus curtipes
180979,Fejervarya sauriceps
190592,Indirana leithii
177800,Micrixalus saxicola
177406,Fejervarya sahyadris
179715,Indirana gundia
177799,Micrixalus saxicola
179719,Indirana diplosticta
173044,Rhacophorus pseudomalabaricus
177798,Micrixalus saxicola
177797,Micrixalus saxicola
179718,Indirana diplosticta
179711,Indirana longicrus
177795,Micrixalus silvaticus
184790,Duttaphrynus melanostictus
177794,Micrixalus silvaticus
179714,Indirana leptodactyla
179713,Indirana leptodactyla
177793,Micrixalus silvaticus
177792,Micrixalus silvaticus
179712,Indirana leptodactyla
177804,Micrixalus nudis
179722,Indirana brachytarsus
186188,Ansonia rubigina
179721,Indirana brachytarsus
186187,Ansonia rubigina
177805,Micrixalus narainensis
179720,Indirana brachytarsus
177807,Micrixalus kottigeharensis
177806,Micrixalus kottigeharensis
179725,Indirana beddomii
179717,Indirana diplosticta
177796,Micrixalus saxicola
177519,Microhyla ornata
177803,Micrixalus phyllophilus
179716,Indirana diplosticta
173179,Rhacophorus calcadensis
176529,Philautus griet
179724,Indirana brachytarsus
177802,Micrixalus phyllophilus
