HShedID,BINOMIAL
62665,Ambassis dussumieri
62642,Ambassis gymnocephalus
61710,Ambassis interrupta
61737,Aplocheilus blockii
62835,Aplocheilus blockii
62897,Aplocheilus blockii
62930,Aplocheilus blockii
63071,Aplocheilus blockii
62610,Barbodes bovanicus
62965,Batasio travancoria
63003,Batasio travancoria
63057,Batasio travancoria
63071,Batasio travancoria
62665,Brachirus orientalis
61598,Chelenodon patoca
62062,Chelenodon patoca
62597,Devario neilgherriensis
62642,Devario neilgherriensis
61567,Esomus barbatus
62118,Esomus barbatus
62188,Esomus barbatus
62610,Esomus barbatus
63086,Garra kalakadensis
60370,Garra mullya
60700,Garra mullya
60790,Garra mullya
60951,Garra mullya
61093,Garra mullya
61135,Garra mullya
61394,Garra mullya
62003,Garra mullya
62216,Garra mullya
62517,Garra mullya
62566,Garra mullya
62829,Garra mullya
62836,Garra mullya
62897,Garra mullya
62947,Garra mullya
62965,Garra mullya
63003,Garra mullya
63057,Garra mullya
63071,Garra mullya
62947,Horalabiosa arunachalami
62829,Horalabiosa palaniensis
63057,Hyporhamphus xanthopterus
63107,Hyporhamphus xanthopterus
60790,Labeo fimbriatus
61135,Labeo fimbriatus
61859,Labeo fimbriatus
62961,Labeo fimbriatus
62018,Labeo kontius
62454,Labeo kontius
62539,Labeo kontius
62566,Labeo kontius
62610,Labeo kontius
62674,Labeo kontius
60700,Lepidocephalus thermalis
60790,Lepidocephalus thermalis
60951,Lepidocephalus thermalis
61093,Lepidocephalus thermalis
61135,Lepidocephalus thermalis
61920,Lepidocephalus thermalis
62003,Lepidocephalus thermalis
62454,Lepidocephalus thermalis
62566,Lepidocephalus thermalis
62642,Lepidocephalus thermalis
62829,Lepidocephalus thermalis
62836,Lepidocephalus thermalis
62897,Lepidocephalus thermalis
62947,Lepidocephalus thermalis
62965,Lepidocephalus thermalis
62665,Lutjanus argentimaculatus
62642,Lutjanus johnii
62665,Lutjanus johnii
62216,Mystus armatus
62566,Mystus armatus
62642,Mystus armatus
62684,Mystus armatus
62836,Mystus armatus
62965,Mystus armatus
63044,Mystus armatus
63086,Mystus armatus
60370,Nemacheilus denisoni
60700,Nemacheilus denisoni
60790,Nemacheilus denisoni
60951,Nemacheilus denisoni
61093,Nemacheilus denisoni
61135,Nemacheilus denisoni
62507,Nemacheilus denisoni
62947,Nemacheilus denisoni
62062,Nemacheilus nilgiriensis
62597,Nemacheilus nilgiriensis
62965,Nemacheilus nilgiriensis
62610,Nemacheilus pulchellus
62829,Nemacheilus pulchellus
62897,Nemacheilus pulchellus
63086,Nemacheilus pulchellus
61859,Parambassis dayi
62897,Parambassis dayi
62930,Parambassis dayi
62947,Parambassis dayi
62965,Parambassis dayi
63071,Parambassis dayi
61859,Parambassis thomassi
61920,Parambassis thomassi
62062,Parambassis thomassi
62517,Parambassis thomassi
62684,Parambassis thomassi
62897,Parambassis thomassi
62930,Parambassis thomassi
62965,Parambassis thomassi
60700,Parapsilorhynchus elongatus
62961,Plotosus canius
63086,Puntius kannikattiensis
62408,Sicyopterus griseus
62488,Sicyopterus griseus
62552,Sicyopterus griseus
62580,Sicyopterus griseus
62642,Sicyopterus griseus
62965,Sicyopterus griseus
60790,Silonia childreni
0,Psilorhynchus tenura
62118,Amblypharyngodon melettinus
62216,Amblypharyngodon melettinus
62527,Amblypharyngodon melettinus
62572,Amblypharyngodon melettinus
63107,Amblypharyngodon melettinus
63124,Amblypharyngodon melettinus
62496,Barbodes wynaadensis
62566,Barbodes wynaadensis
62062,Barilius gatensis
62216,Barilius gatensis
62517,Barilius gatensis
62642,Barilius gatensis
62684,Barilius gatensis
62799,Barilius gatensis
62836,Barilius gatensis
62947,Barilius gatensis
62517,Bhavania australis
62597,Bhavania australis
62642,Bhavania australis
62664,Bhavania australis
62684,Bhavania australis
62826,Bhavania australis
62836,Bhavania australis
62947,Bhavania australis
63086,Bhavania australis
63128,Bhavania australis
62930,Channa micropeltes
62965,Channa micropeltes
63003,Channa micropeltes
63057,Channa micropeltes
63107,Channa micropeltes
63128,Channa micropeltes
61682,Clarias dussumieri
62062,Clarias dussumieri
62542,Clarias dussumieri
62930,Clarias dussumieri
63003,Clarias dussumieri
63057,Clarias dussumieri
63107,Clarias dussumieri
63124,Clarias dussumieri
62373,Etroplus maculatus
62450,Etroplus maculatus
62488,Etroplus maculatus
62517,Etroplus maculatus
62552,Etroplus maculatus
62580,Etroplus maculatus
62642,Etroplus maculatus
62665,Etroplus maculatus
62835,Etroplus maculatus
62897,Etroplus maculatus
62930,Etroplus maculatus
62980,Etroplus maculatus
63003,Etroplus maculatus
63038,Etroplus maculatus
63057,Etroplus maculatus
63071,Etroplus maculatus
63107,Etroplus maculatus
63124,Etroplus maculatus
63128,Etroplus maculatus
63134,Etroplus maculatus
63146,Etroplus maculatus
63156,Etroplus maculatus
62527,Etroplus suratensis
62642,Etroplus suratensis
62665,Etroplus suratensis
62798,Etroplus suratensis
62930,Etroplus suratensis
62961,Etroplus suratensis
63038,Etroplus suratensis
63107,Etroplus suratensis
63124,Etroplus suratensis
63134,Etroplus suratensis
63150,Etroplus suratensis
62826,Glyptothorax housei
62642,Horadandia atukorali
62897,Horaglanis krishnai
62930,Horaglanis krishnai
62215,Hypselobarbus curmuca
62302,Hypselobarbus curmuca
62387,Hypselobarbus curmuca
62408,Hypselobarbus curmuca
62454,Hypselobarbus curmuca
62488,Hypselobarbus curmuca
62517,Hypselobarbus curmuca
62566,Hypselobarbus curmuca
62597,Hypselobarbus curmuca
62642,Hypselobarbus curmuca
62664,Hypselobarbus curmuca
62766,Hypselobarbus curmuca
62799,Hypselobarbus curmuca
62836,Hypselobarbus curmuca
62947,Hypselobarbus curmuca
62965,Hypselobarbus curmuca
63003,Hypselobarbus curmuca
63038,Hypselobarbus curmuca
63044,Hypselobarbus curmuca
63057,Hypselobarbus curmuca
63071,Hypselobarbus curmuca
63086,Hypselobarbus curmuca
63107,Hypselobarbus curmuca
63124,Hypselobarbus curmuca
63128,Hypselobarbus curmuca
62387,Hypselobarbus kurali
62947,Hypselobarbus kurali
63057,Hypselobarbus kurali
62496,Mesoneomacheilus herrei
62566,Mesoneomacheilus herrei
62642,Mesoneomacheilus herrei
62664,Mesoneomacheilus herrei
62684,Mesoneomacheilus herrei
62826,Mesoneomacheilus herrei
62947,Mesoneomacheilus herrei
62965,Mesoneomacheilus herrei
63003,Mesoneomacheilus herrei
63071,Mesoneomacheilus herrei
63124,Mesoneomacheilus herrei
60938,Mystus malabaricus
61066,Mystus malabaricus
61191,Mystus malabaricus
61325,Mystus malabaricus
61355,Mystus malabaricus
61475,Mystus malabaricus
61598,Mystus malabaricus
61682,Mystus malabaricus
61813,Mystus malabaricus
61859,Mystus malabaricus
62062,Mystus malabaricus
62085,Mystus malabaricus
62387,Mystus malabaricus
62496,Mystus malabaricus
62517,Mystus malabaricus
62566,Mystus malabaricus
62642,Mystus malabaricus
62665,Mystus malabaricus
62684,Mystus malabaricus
62766,Mystus malabaricus
62826,Mystus malabaricus
62836,Mystus malabaricus
62897,Mystus malabaricus
62930,Mystus malabaricus
62947,Mystus malabaricus
62965,Mystus malabaricus
63003,Mystus malabaricus
63038,Mystus malabaricus
63044,Mystus malabaricus
63057,Mystus malabaricus
63071,Mystus malabaricus
63086,Mystus malabaricus
63107,Mystus malabaricus
63124,Mystus malabaricus
63128,Mystus malabaricus
62642,Nemacheilus triangularis
62665,Nemacheilus triangularis
62684,Nemacheilus triangularis
62726,Nemacheilus triangularis
62799,Nemacheilus triangularis
62826,Nemacheilus triangularis
62836,Nemacheilus triangularis
62947,Nemacheilus triangularis
62965,Nemacheilus triangularis
63003,Nemacheilus triangularis
63057,Nemacheilus triangularis
63071,Nemacheilus triangularis
63086,Nemacheilus triangularis
63107,Nemacheilus triangularis
63124,Nemacheilus triangularis
61135,Ompok malabaricus
61394,Ompok malabaricus
61551,Ompok malabaricus
62018,Ompok malabaricus
62277,Ompok malabaricus
62387,Ompok malabaricus
62517,Ompok malabaricus
62566,Ompok malabaricus
62597,Ompok malabaricus
62642,Ompok malabaricus
62799,Ompok malabaricus
62826,Ompok malabaricus
62947,Ompok malabaricus
62965,Ompok malabaricus
63003,Ompok malabaricus
63038,Ompok malabaricus
63057,Ompok malabaricus
63071,Ompok malabaricus
63124,Ompok malabaricus
62566,Oryzias melastigma
60599,Oryzias setnai
63124,Oryzias setnai
61093,Pristolepis marginata
61813,Pristolepis marginata
62062,Pristolepis marginata
62387,Pristolepis marginata
62517,Pristolepis marginata
62556,Pristolepis marginata
62566,Pristolepis marginata
62826,Pristolepis marginata
62836,Pristolepis marginata
62965,Pristolepis marginata
63057,Pristolepis marginata
63124,Pristolepis marginata
60938,Pseudosphronemus cupanus
61066,Pseudosphronemus cupanus
