id_no,binomial,category
1681,Antilope cervicapra,NT
2540,Bandicota bengalensis,LC
2541,Bandicota indica,LC
2891,Bos gaurus,VU
2893,Boselaphus tragocamelus,LC
3744,Canis aureus,LC
3746,Canis lupus,LC
4316,Chaerephon plicatus,LC
5512,Madromys blanfordi,LC
5513,Cremnomys cutchicus,LC
5514,Cremnomys elvira,CR
5953,Cuon alpinus,EN
6103,Cynopterus brachyotis,LC
6106,Cynopterus sphinx,LC
7140,Elephas maximus,EN
7787,Eonycteris spelaea,LC
8540,Felis chaus,LC
8543,Felis silvestris,LC
8553,Feroculus feroculus,EN
8701,Funambulus palmarum,LC
8702,Funambulus pennantii,LC
8703,Funambulus sublineatus,VU
8704,Funambulus tristriatus,LC
9303,Golunda ellioti,LC
9736,Harpiocephalus harpia,LC
9917,Nilgiritragus hylocrius,EN
9978,Hesperoptenus tickelli,LC
10111,Hipposideros ater,LC
10135,Hipposideros fulvus,LC
10136,Hipposideros galeritus,LC
10138,Hipposideros hypophyllus,EN
10142,Hipposideros lankadiva,LC
10154,Hipposideros pomona,LC
10162,Hipposideros speoris,LC
10274,Hyaena hyaena,NT
10751,Hystrix indica,LC
10974,Kerivoula hardwickii,LC
10985,Kerivoula picta,LC
11374,Latidens salimalii,EN
12419,Lutra lutra,NT
12427,Lutrogale perspicillata,VU
12554,Macaca mulatta,LC
12558,Macaca radiata,LC
12559,Macaca silenus,EN
12761,Manis crassicaudata,EN
12847,Martes gwatkinsii,VU
12938,Megaderma lyra,LC
12939,Megaderma spasma,LC
13143,Melursus ursinus,VU
13524,Millardia kondana,CR
13525,Millardia meltada,LC
13569,Miniopterus pusillus,LC
13938,Murina cyclotis,LC
13953,Mus booduga,LC
13960,Mus famulus,EN
13972,Mus musculus,LC
13977,Mus phillipsi,LC
13978,Mus platythrix,LC
13979,Mus saxicola,LC
13987,Mus terricolor,LC
14166,Myotis horsfieldii,LC
14181,Myotis montivagus,LC
15646,Otomops wroughtoni,DD
15954,Panthera pardus,NT
15955,Panthera tigris,EN
16104,Paradoxurus jerdoni,LC
16724,Petaurista philippensis,LC
16734,Petinomys fuscocapillus,NT
17317,Pipistrellus pipistrellus,LC
17324,Falsistrellus affinis,LC
17332,Pipistrellus ceylonicus,LC
17335,Pipistrellus coromandra,LC
17338,Scotozous dormeri,LC
17344,Pipistrellus javanicus,LC
17368,Pipistrellus tenuis,LC
17481,Platacanthomys lasiurus,VU
18146,Prionailurus bengalensis,LC
18149,Prionailurus rubiginosus,VU
18150,Prionailurus viverrinus,EN
18725,Pteropus giganteus,LC
19360,Rattus rattus,LC
19378,Ratufa indica,LC
19381,Ratufa macroura,NT
19547,Rhinolophus lepidus,LC
19548,Rhinolophus luctus,LC
19561,Rhinolophus pusillus,LC
19563,Rhinolophus rouxii,LC
19599,Rhinopoma hardwickii,LC
19600,Rhinopoma microphyllum,LC
19756,Rousettus leschenaultii,LC
19802,Saccolaimus saccolaimus,LC
20067,Scotophilus heathii,LC
20068,Scotophilus kuhlii,LC
21142,Suncus dayi,EN
21147,Suncus montanus,VU
21312,Tadarida aegyptiaca,LC
21459,Taphozous longimanus,LC
21461,Taphozous melanopogon,LC
21462,Taphozous nudiventris,LC
21465,Taphozous theobaldi,LC
21514,Tatera indica,LC
21661,Tetracerus quadricornis,VU
22577,Tylonycteris pachypus,LC
22845,Vandeleuria oleracea,LC
23036,Viverra civettina,CR
23049,Vulpes bengalensis,LC
23062,Vulpes vulpes,LC
29671,Suncus etruscus,LC
39593,Anathana ellioti,LC
39594,Paraechinus nudiventris,LC
39835,Semnopithecus dussumieri,LC
39838,Semnopithecus hypoleucos,VU
40023,Rhinolophus beddomei,LC
41282,Lepus nigricollis,LC
41324,Crocidura horsfieldii,DD
41440,Suncus murinus,LC
41441,Suncus stoliczkanus,LC
41611,Herpestes edwardsii,LC
41612,Herpestes fuscus,VU
41617,Herpestes smithii,LC
41619,Herpestes vitticollis,LC
41629,Mellivora capensis,LC
41693,Paradoxurus hermaphroditus,LC
41710,Viverricula indica,LC
41775,Sus scrofa,LC
41783,Axis axis,LC
41790,Rusa unicolor,VU
44166,Aonyx cinerea,VU
44694,Trachypithecus johnii,VU
44722,Loris lydekkerianus,LC
135440,Semnopithecus priam,NT
136372,Vandeleuria nilagirica,EN
136428,Kerivoula lenis,LC
136514,Miniopterus fuliginosus,LC
136517,Rattus satarae,VU
136551,Muntiacus vaginalis,LC
136585,Moschiola indica,LC
