origId, sciName, taxon, year, category, code
177225,Nyctibatrachus deccanensis,amph,2004,Vulnerable,VU
191352,Ghatixalus variabilis,amph,2010,Endangered,EN
191352,Ghatixalus variabilis,amph,2004,Data Deficient,DD
188257,Bufo stomaticus,amph,NA,NA,NA
172198,Uraeotyphlus oommeni,amph,2008,Data Deficient,DD
172278,Uperodon globulosus,amph,2004,Least Concern,LC
179774,Ichthyophis kodaguensis,amph,2008,Data Deficient,DD
177876,Melanobatrachus indicus,amph,2004,Endangered,EN
177876,Melanobatrachus indicus,amph,1996,Endangered,EN
177876,Melanobatrachus indicus,amph,1994,Indeterminate,I
177876,Melanobatrachus indicus,amph,1990,Indeterminate,I
177876,Melanobatrachus indicus,amph,1988,Indeterminate,I
174284,Hylarana aurantiaca,amph,NA,NA,NA
176411,Philautus signatus,amph,NA,NA,NA
188068,Uperodon systoma,amph,2004,Least Concern,LC
179433,Kaloula taprobanica,amph,NA,NA,NA
179766,Ichthyophis beddomei,amph,2004,Least Concern,LC
181189,Euphlyctis hexadactylus,amph,2004,Least Concern,LC
181006,Fejervarya brevipalmata,amph,2016,Data Deficient,DD
181006,Fejervarya brevipalmata,amph,2004,Data Deficient,DD
177425,Microhyla sholigari,amph,2004,Endangered,EN
173823,Hylarana malabarica,amph,NA,NA,NA
188379,Euphlyctis cyanophlyctis,amph,2009,Least Concern,LC
188379,Euphlyctis cyanophlyctis,amph,2004,Least Concern,LC
177790,Micrixalus thampii,amph,2004,Data Deficient,DD
176570,Philautus charius,amph,NA,NA,NA
177791,Micrixalus swamianus,amph,2004,Data Deficient,DD
176571,Philautus chalazodes,amph,NA,NA,NA
176584,Philautus bombayensis,amph,NA,NA,NA
176586,Philautus beddomii,amph,NA,NA,NA
177199,Nyctibatrachus vasanthi,amph,2004,Endangered,EN
177200,Nyctibatrachus sylvaticus,amph,2004,Data Deficient,DD
174926,Polypedates pseudocruciger,amph,2004,Least Concern,LC
177204,Nyctibatrachus sanctipalustris,amph,2004,Endangered,EN
176356,Philautus wynaadensis,amph,NA,NA,NA
177812,Micrixalus elegans,amph,2004,Data Deficient,DD
177216,Nyctibatrachus major,amph,2004,Vulnerable,VU
172195,Uraeotyphlus oxyurus,amph,2004,Data Deficient,DD
172199,Uraeotyphlus narayani,amph,2004,Data Deficient,DD
177810,Micrixalus gadgili,amph,2004,Endangered,EN
177205,Nyctibatrachus petraeus,amph,2006,Least Concern,LC
177811,Micrixalus fuscus,amph,2004,Near Threatened,NT
177207,Nyctibatrachus minor,amph,2004,Endangered,EN
179728,Ichthyophis tricolor,amph,2004,Least Concern,LC
177405,Fejervarya sahyadris,amph,NA,NA,NA
172201,Uraeotyphlus menoni,amph,2004,Data Deficient,DD
176606,Philautus anili,amph,NA,NA,NA
172202,Uraeotyphlus malabaricus,amph,2004,Data Deficient,DD
174136,Clinotarsus curtipes,amph,2004,Near Threatened,NT
180978,Fejervarya syhadrensis,amph,2016,Least Concern,LC
180978,Fejervarya syhadrensis,amph,2004,Least Concern,LC
180979,Fejervarya sauriceps,amph,2016,Data Deficient,DD
180979,Fejervarya sauriceps,amph,2004,Data Deficient,DD
190592,Indirana leithii,amph,2004,Vulnerable,VU
177800,Micrixalus saxicola,amph,2004,Vulnerable,VU
179715,Indirana gundia,amph,2004,Critically Endangered,CR
179719,Indirana diplosticta,amph,2004,Endangered,EN
173044,Rhacophorus pseudomalabaricus,amph,2004,Critically Endangered,CR
179711,Indirana longicrus,amph,2004,Data Deficient,DD
177795,Micrixalus silvaticus,amph,2004,Data Deficient,DD
184790,Duttaphrynus melanostictus,amph,2004,Least Concern,LC
179714,Indirana leptodactyla,amph,2004,Endangered,EN
177804,Micrixalus nudis,amph,2004,Vulnerable,VU
179722,Indirana brachytarsus,amph,2004,Endangered,EN
186188,Ansonia rubigina,amph,NA,NA,NA
177805,Micrixalus narainensis,amph,2004,Data Deficient,DD
