origId, sciName, taxon, year, category, code, synonymousSpeciesUsed
177225,Nyctibatrachus deccanensis,amph,2004,Vulnerable,VU,NA
191352,Ghatixalus variabilis,amph,2010,Endangered,EN,NA
191352,Ghatixalus variabilis,amph,2004,Data Deficient,DD,NA
188257,Bufo stomaticus,amph,2009,Least Concern,LC,Duttaphrynus stomaticus
188257,Bufo stomaticus,amph,2004,Least Concern,LC,Duttaphrynus stomaticus
172198,Uraeotyphlus oommeni,amph,2008,Data Deficient,DD,NA
172278,Uperodon globulosus,amph,2004,Least Concern,LC,NA
179774,Ichthyophis kodaguensis,amph,2008,Data Deficient,DD,NA
177876,Melanobatrachus indicus,amph,2004,Endangered,EN,NA
177876,Melanobatrachus indicus,amph,1996,Endangered,EN,NA
177876,Melanobatrachus indicus,amph,1994,Indeterminate,I,NA
177876,Melanobatrachus indicus,amph,1990,Indeterminate,I,NA
177876,Melanobatrachus indicus,amph,1988,Indeterminate,I,NA
174284,Hylarana aurantiaca,amph,2004,Vulnerable,VU,Indosylvirana aurantiaca
176411,Philautus signatus,amph,2004,Endangered,EN,Raorchestes signatus
188068,Uperodon systoma,amph,2004,Least Concern,LC,NA
179433,Kaloula taprobanica,amph,2016,Least Concern,LC,Uperodon taprobanicus
179433,Kaloula taprobanica,amph,2004,Least Concern,LC,Uperodon taprobanicus
179766,Ichthyophis beddomei,amph,2004,Least Concern,LC,NA
181189,Euphlyctis hexadactylus,amph,2004,Least Concern,LC,NA
181006,Fejervarya brevipalmata,amph,2016,Data Deficient,DD,NA
181006,Fejervarya brevipalmata,amph,2004,Data Deficient,DD,NA
177425,Microhyla sholigari,amph,2004,Endangered,EN,NA
173823,Hylarana malabarica,amph,2004,Least Concern,LC,Hydrophylax malabaricus
188379,Euphlyctis cyanophlyctis,amph,2009,Least Concern,LC,NA
188379,Euphlyctis cyanophlyctis,amph,2004,Least Concern,LC,NA
177790,Micrixalus thampii,amph,2004,Data Deficient,DD,NA
176570,Philautus charius,amph,2004,Endangered,EN,Raorchestes charius
177791,Micrixalus swamianus,amph,2004,Data Deficient,DD,NA
176571,Philautus chalazodes,amph,2004,Critically Endangered,CR,Raorchestes chalazodes
176584,Philautus bombayensis,amph,2004,Vulnerable,VU,Raorchestes bombayensis
176586,Philautus beddomii,amph,2004,Near Threatened,NT,Raorchestes beddomii
177199,Nyctibatrachus vasanthi,amph,2004,Endangered,EN,NA
177200,Nyctibatrachus sylvaticus,amph,2004,Data Deficient,DD,NA
174926,Polypedates pseudocruciger,amph,2004,Least Concern,LC,NA
177204,Nyctibatrachus sanctipalustris,amph,2004,Endangered,EN,NA
176356,Philautus wynaadensis,amph,2004,Endangered,EN,Pseudophilautus wynaadensis
177812,Micrixalus elegans,amph,2004,Data Deficient,DD,NA
177216,Nyctibatrachus major,amph,2004,Vulnerable,VU,NA
172195,Uraeotyphlus oxyurus,amph,2004,Data Deficient,DD,NA
172199,Uraeotyphlus narayani,amph,2004,Data Deficient,DD,NA
177810,Micrixalus gadgili,amph,2004,Endangered,EN,NA
177205,Nyctibatrachus petraeus,amph,2006,Least Concern,LC,NA
177811,Micrixalus fuscus,amph,2004,Near Threatened,NT,NA
177207,Nyctibatrachus minor,amph,2004,Endangered,EN,NA
179728,Ichthyophis tricolor,amph,2004,Least Concern,LC,NA
177405,Fejervarya sahyadris,amph,2004,Endangered,EN,Minervarya sahyadris
172201,Uraeotyphlus menoni,amph,2004,Data Deficient,DD,NA
176606,Philautus anili,amph,2006,Least Concern,LC,Raorchestes anili
176606,Philautus anili,amph,2004,Endangered,EN,Raorchestes anili
172202,Uraeotyphlus malabaricus,amph,2004,Data Deficient,DD,NA
174136,Clinotarsus curtipes,amph,2004,Near Threatened,NT,NA
180978,Fejervarya syhadrensis,amph,2016,Least Concern,LC,NA
180978,Fejervarya syhadrensis,amph,2004,Least Concern,LC,NA
180979,Fejervarya sauriceps,amph,2016,Data Deficient,DD,NA
180979,Fejervarya sauriceps,amph,2004,Data Deficient,DD,NA
190592,Indirana leithii,amph,2004,Vulnerable,VU,NA
177800,Micrixalus saxicola,amph,2004,Vulnerable,VU,NA
179715,Indirana gundia,amph,2004,Critically Endangered,CR,NA
179719,Indirana diplosticta,amph,2004,Endangered,EN,NA
173044,Rhacophorus pseudomalabaricus,amph,2004,Critically Endangered,CR,NA
179711,Indirana longicrus,amph,2004,Data Deficient,DD,NA
177795,Micrixalus silvaticus,amph,2004,Data Deficient,DD,NA
184790,Duttaphrynus melanostictus,amph,2004,Least Concern,LC,NA
179714,Indirana leptodactyla,amph,2004,Endangered,EN,NA
177804,Micrixalus nudis,amph,2004,Vulnerable,VU,NA
179722,Indirana brachytarsus,amph,2004,Endangered,EN,NA
